Pair,SSIM,Category,Sub-Category,Timestamp
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geobubble/plot_2_0_display_tsunami_data_using_bubble_color_to_indicate_montage.png,0.7352273051822378,geographic-plots,geobubble,2021-08-20 14:11:22
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_0_0_row_vector_input_montage.png,0.7378177049438707,discrete-data-plots,stem3,2021-08-20 14:11:17
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/imagesc/plot_2_0_control_scaling_of_data_values_into_colormap_montage.png,0.7381205774525844,images,imagesc,2021-08-20 14:11:32
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_1_0_column_vector_input_montage.png,0.7574829319080676,discrete-data-plots,stem3,2021-08-20 14:11:18
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/imagesc/plot_3_0_modify_image_after_creation_montage.png,0.760602275942587,images,imagesc,2021-08-20 14:11:32
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_10_1_modify_stem_series_after_creation_montage.png,0.7619945634901298,discrete-data-plots,stem3,2021-08-20 14:11:17
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_9_1_modify_stem_series_after_creation_montage.png,0.7619945634901298,discrete-data-plots,stem,2021-08-20 14:11:16
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/imagesc/plot_1_0_control_image_placement_montage.png,0.7634155293254931,images,imagesc,2021-08-20 14:11:31
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_8_0_additional_style_options_montage.png,0.7743466561807512,discrete-data-plots,stem3,2021-08-20 14:11:21
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_5_0_fill_in_markers_montage.png,0.7745355823687736,discrete-data-plots,stem3,2021-08-20 14:11:20
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geobubble/plot_1_0_display_tsunami_data_using_bubble_size_to_indicate__montage.png,0.7807631558209743,geographic-plots,geobubble,2021-08-20 14:11:22
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_10_0_modify_stem_series_after_creation_montage.png,0.7834019712773135,discrete-data-plots,stem3,2021-08-20 14:11:17
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem/plot_9_0_modify_stem_series_after_creation_montage.png,0.7834019712773135,discrete-data-plots,stem,2021-08-20 14:11:15
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/discrete-data-plots/stem3/plot_6_0_line_style_marker_symbol_and_color_options_montage.png,0.7849341390854285,discrete-data-plots,stem3,2021-08-20 14:11:20
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoscatter/plot_0_0_create_geographic_scatter_plot_controlling_color_si_montage.png,0.7858250389226311,geographic-plots,geoscatter,2021-08-20 14:11:26
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/geographic-plots/geoscatter/plot_1_0_create_geographic_scatter_plot_specifying_basemap_montage.png,0.7858250389226311,geographic-plots,geoscatter,2021-08-20 14:11:27
https://github.com/plotly/ssim_baselines/blob/main/out_matlab/matlab/images/imagesc/plot_3_1_modify_image_after_creation_montage.png,0.7968693467768314,images,imagesc,2021-08-20 14:11:32
